month adjasted,100<,100-155,155-210,210>,season,Date,Grower,Pepper Kind
5,0.00588687,0.043767597,0.40005119,0.550294343,1,09-01-18,Green Lotan,Red
5,0.016125698,0.092619392,0.447798222,0.443456688,1,09-01-18,Green Lotan,Red
5,0.014282714,0.04620878,0.314849821,0.624658685,1,09-01-18,Erez Gvori,Red
5,0.02751474,0.079149544,0.413078435,0.480257281,1,09-01-18,Green Lotan,Red
5,0.019949335,0.050348322,0.34610513,0.583597213,1,09-01-18,Green Lotan,Red
5,0.018382353,0.058088235,0.477941176,0.445588235,1,09-01-18,Green zofar,Yellow
5,0.044879899,0.123893805,0.562157606,0.269068689,1,09-01-18,Green zofar,Yellow
5,0.006295247,0.029902424,0.419578218,0.544224111,1,09-01-18,Green zofar,Yellow
5,0.004061641,0.027595269,0.299725242,0.668617847,1,10-01-18,Green Lotan,Red
5,0.007654623,0.046233925,0.461420698,0.484690753,1,10-01-18,Green Lotan,Red
5,0.001231022,0.012310217,0.340582684,0.645876077,1,10-01-18,Green zofar,Yellow
5,0.007413344,0.037767982,0.507212983,0.44760569,1,10-01-18,Green zofar,Orange
5,0.016016172,0.0536464,0.930337428,0,1,10-01-18,Green Lotan,Red
5,0.012219287,0.075957728,0.911822985,0,1,10-01-18,Green zofar,Yellow
5,0.007750117,0.068341945,0.553311414,0.370596524,1,10-01-18,Green zofar,Orange
5,0.017087821,0.091549296,0.891362883,0,1,10-01-18,Green Lotan,Red
5,0.022256214,0.063556405,0.91418738,0,1,11-01-18,Green Lotan,Red
5,0.006437768,0.032054721,0.414565451,0.54694206,1,11-01-18,Green zofar,Yellow
5,0.010561763,0.04592071,0.55303842,0.390479106,1,11-01-18,Green zofar,Orange
5,0.025081145,0.078784302,0.589849513,0.30628504,1,11-01-18,Green zofar,Orange
5,0.015530403,0.028954988,0.408002106,0.547512503,1,14-01-18,Green zofar,Yellow
5,0.007854066,0.038256904,0.37167469,0.58221434,1,14-01-18,Green Lotan,Red
5,0.029972752,0.078629817,0.891397431,0,1,14-01-18,Green Lotan,Red
5,0.027764572,0.058001331,0.486355425,0.427878673,1,14-01-18,Green zofar,Yellow
5,0.057053942,0.044605809,0.493775934,0.404564315,1,14-01-18,Green zofar,Yellow
5,0.01958042,0.139460539,0.410989011,0.42997003,1,15-01-18,Green Lotan,Red
5,0.010622887,0.08160309,0.387735394,0.520038629,1,15-01-18,Green Lotan,Red
5,5.00E-05,0.018517592,0.221710625,0.759721736,1,15-01-18,Green Lotan,Red
5,0.00440044,0.108544188,0.344334433,0.542720939,1,15-01-18,Green zofar,Yellow
5,0.001769912,0.062300885,0.345840708,0.590088496,1,15-01-18,Green zofar,Yellow
5,0.002879868,0.105183763,0.381788261,0.510148108,1,15-01-18,Green Lotan,Red
5,0.000426925,0.018073146,0.191831507,0.789668422,1,15-01-18,Green Lotan,Red
5,0.000578035,0.060115607,0.386127168,0.553179191,1,15-01-18,Green Lotan,Red
5,0.000283447,0.01984127,0.1638322,0.816043084,1,15-01-18,Erez Gvori,Red
5,0.002064136,0.081533358,0.376557317,0.53984519,1,15-01-18,Green zofar,Yellow
5,0.002899601,0.097499094,0.358825661,0.540775643,1,15-01-18,Green Lotan,Red
5,5.83E-05,0.015159466,0.194740831,0.790041397,1,15-01-18,Green Lotan,Red
5,0.00053952,0.019152954,0.192878338,0.787429188,1,16-01-18,Green Lotan,Red
5,0.000538068,0.027710519,0.209846651,0.761904762,1,16-01-18,Green Lotan,Red
5,0.001241311,0.082671301,0.36817279,0.547914598,1,16-01-18,Green Lotan,Red
5,0.001124438,0.0515992,0.294352824,0.652923538,1,16-01-18,Green Lotan,Red
5,0.000503525,0.0193857,0.164652568,0.815458207,1,16-01-18,Erez Gvori,Red
5,0.004724409,0.14488189,0.45984252,0.390551181,1,16-01-18,Green zofar,Red
5,0.00135158,0.073323196,0.352762291,0.572562933,1,16-01-18,Green zofar,Red
5,0.000510334,0.012248022,0.121459556,0.865782087,1,16-01-18,Green zofar,Red
5,0.00093423,0.03185725,0.215900598,0.751307922,1,16-01-18,Green Lotan,Red
5,0.001118747,0.059453412,0.310372383,0.629055458,1,16-01-18,Green Lotan,Red
5,0.000682594,0.03003413,0.249829352,0.719453925,1,16-01-18,Erez Gvori,Yellow
5,0.001025431,0.034044299,0.220467596,0.744462674,1,17-01-18,Green Lotan,Red
5,0.001471129,0.081647665,0.383229128,0.533652078,1,17-01-18,Green zofar,Yellow
5,0.000690767,0.051346995,0.312456827,0.635505411,1,17-01-18,Green Lotan,Red
5,0.000287356,0.029885057,0.32183908,0.647988506,1,17-01-18,Erez Gvori,Yellow
5,0.000834957,0.029501809,0.205121069,0.764542165,1,17-01-18,Green Lotan,Red
5,0.001718213,0.057130584,0.286512027,0.654639175,1,17-01-18,Green Lotan,Red
5,0.001820388,0.102953074,0.343446602,0.551779935,1,17-01-18,Green zofar,Yellow
5,0.000530504,0.04933687,0.334217507,0.615915119,1,17-01-18,Erez Gvori,Yellow
5,0.003927344,0.084928817,0.273932253,0.637211586,1,17-01-18,Green Lotan,Red
5,0.00240516,0.047009949,0.201705477,0.748879414,1,17-01-18,Green Lotan,Red
5,0.002033898,0.078644068,0.378305085,0.541016949,1,18-01-18,Green zofar,Yellow
5,0.000903342,0.071966275,0.370972599,0.556157784,1,18-01-18,Green zofar,Yellow
5,0.001987281,0.044117647,0.213434022,0.740461049,1,18-01-18,Green Lotan,Red
5,0.001655878,0.068192082,0.457624567,0.472527473,1,18-01-18,Green Lotan,Red
5,0.000808081,0.037979798,0.179393939,0.781818182,1,18-01-18,Erez Gvori,Red
5,0.001381215,0.053867403,0.334254144,0.610497238,1,18-01-18,Erez Gvori,Yellow
5,0.001420455,0.103693182,0.426136364,0.46875,1,18-01-18,Green zofar,Yellow
5,0.002319869,0.085289301,0.3930131,0.519377729,1,18-01-18,Green Lotan,Red
5,0.002344666,0.076201641,0.433763189,0.487690504,1,18-01-18,Green Lotan,Red
5,0.001472212,0.049319102,0.200220832,0.748987854,1,18-01-18,Erez Gvori,Red
5,0.00056338,0.044507042,0.337183099,0.617746479,1,18-01-18,Green zofar,Yellow
5,0.000558347,0.020286618,0.144053601,0.835101433,1,18-01-18,Green Lotan,Red
5,0.000664231,0.068415809,0.349717702,0.581202258,1,18-01-18,Green Lotan,Red
5,0.00077821,0.045914397,0.321400778,0.631906615,1,18-01-18,Green Lotan,Red
5,0.00040783,0.014885808,0.119290375,0.865415987,1,21-01-18,Green Lotan,Red
5,0.000498629,0.02044378,0.230615807,0.748441785,1,21-01-18,Green Lotan,Red
5,0.002808989,0.056179775,0.266853933,0.674157303,1,21-01-18,Erez Gvori,Red
5,0.000413907,0.025869205,0.307533113,0.666183775,1,21-01-18,Erez Gvori,Orange
5,4.16E-05,0.023312935,0.337621248,0.639024187,1,21-01-18,Green zofar,Orange
5,0.000390625,0.01640625,0.26875,0.714453125,1,21-01-18,Green zofar,Yellow
5,0.000251826,0.019390582,0.22563586,0.754721733,1,21-01-18,Green Lotan,Red
5,0.000214777,0.010738832,0.116194158,0.872852234,1,21-01-18,Green Lotan,Red
5,0.00044405,0.024422735,0.254884547,0.720248668,1,21-01-18,Green zofar,Yellow
5,0.000597015,0.025671642,0.253731343,0.72,1,21-01-18,Green zofar,Orange
5,0.000716332,0.073424069,0.385386819,0.540472779,1,21-01-18,Erez Gvori,Orange
5,0.000331016,0.016881827,0.238993711,0.743793446,1,21-01-18,Green Lotan,Red
5,4.00E-05,0.022399104,0.328386865,0.649174033,1,21-01-18,Green Lotan,Red
5,0.001236094,0.051091883,0.346930367,0.600741656,1,21-01-18,Green Lotan,Red
5,0.001319013,0.056152252,0.334463916,0.60806482,1,22-01-18,Green Lotan,Red
5,0.000968758,0.04383628,0.363526278,0.591668685,1,22-01-18,Green Lotan,Red
5,0.003884573,0.079356271,0.362652608,0.554106548,1,22-01-18,Green Lotan,Red
5,0.000405351,0.010539116,0.09383867,0.895216863,1,22-01-18,Green Lotan,Red
5,0.00249584,0.06031614,0.353161398,0.584026622,1,22-01-18,Green Lotan,Red
5,0.000512821,0.005128205,0.120512821,0.873846154,1,22-01-18,Green Lotan,Red
5,0.001195695,0.040653647,0.294938222,0.663212435,1,23-01-18,Green zofar,Orange
5,0.000639386,0.028452685,0.276534527,0.694373402,1,23-01-18,Green Lotan,Red
5,0.000158983,0.010651828,0.178060413,0.811128776,1,23-01-18,Green Lotan,Red
5,0.000157257,0.008098758,0.13217487,0.859569115,1,23-01-18,Green Lotan,Red
5,6.01E-05,0.012011291,0.236021861,0.751906792,1,23-01-18,Green Lotan,Red
5,0.00097561,0.013658537,0.165853659,0.819512195,1,23-01-18,Green zofar,Orange
5,1.50E-05,0.005548807,0.102877881,0.891558315,1,24-01-18,Green Lotan,Red
5,0.003139717,0.096075353,0.294191523,0.606593407,1,24-01-18,Erez Gvori,Red
5,0.000482625,0.046814672,0.272200772,0.680501931,1,24-01-18,Green Lotan,Red
5,0.003575358,0.108085809,0.316556656,0.571782178,1,24-01-18,Erez Gvori,Red
5,0.001173709,0.089201878,0.367370892,0.542253521,1,24-01-18,Erez Gvori,Orange
5,0.001172333,0.031066823,0.21014068,0.757620164,1,24-01-18,Green zofar,Orange
5,0.000554785,0.024133148,0.261581137,0.713730929,1,24-01-18,Green zofar,Yellow
5,0.001960784,0.046862745,0.230392157,0.720784314,1,24-01-18,Green Lotan,Red
5,2.71E-05,0.007310931,0.128889009,0.863772982,1,24-01-18,Green Lotan,Red
5,0.001932038,0.057847483,0.265371065,0.674849415,1,25-01-18,Green Lotan,Red
5,0.005925926,0.18,0.476049383,0.338024691,1,25-01-18,Erez Gvori,Red
5,0.003271661,0.068479242,0.286552347,0.641696751,1,25-01-18,Green Lotan,Red
5,5.15E-05,0.032937059,0.266584324,0.700427152,1,25-01-18,Green Lotan,Red
5,0.001098384,0.053350071,0.254197395,0.69135415,1,28-01-18,Green Lotan,Red
5,4.64E-05,0.015319623,0.193120097,0.791513857,1,28-01-18,Green Lotan,Red
5,0.002198406,0.171200879,0.499587799,0.327012916,1,28-01-18,Erez Gvori,Red
5,0.001460707,0.078001753,0.435874963,0.484662577,1,28-01-18,Green zofar,Orange
5,0.003291098,0.146453842,0.505677143,0.344577917,1,28-01-18,Green zofar,Yellow
5,0.001513088,0.054925102,0.258738084,0.684823725,1,28-01-18,Green Lotan,Red
5,0.000520291,0.013007284,0.155046826,0.831425598,1,28-01-18,Green Lotan,Red
5,0.003444317,0.211251435,0.548794489,0.236509759,1,28-01-18,Erez Gvori,Red
5,0.000720981,0.042898342,0.205479452,0.750901226,1,28-01-18,Erez Gvori,Red
5,0.001518603,0.069855733,0.422171602,0.506454062,1,28-01-18,Green zofar,Orange
5,3.33E-05,0.019626759,0.199926815,0.78041316,1,28-01-18,Green Lotan,Red
5,0.000884173,0.016799293,0.180371353,0.801945181,1,28-01-18,Green Lotan,Red
5,0.001311762,0.060341058,0.268473983,0.669873196,1,28-01-18,Green Lotan,Red
5,0.00270636,0.138024357,0.548037889,0.311231394,1,28-01-18,Green zofar,Yellow
5,0.001189465,0.044180119,0.219881054,0.734749363,1,29-01-18,Green Lotan,Red
5,0.000363108,0.010530138,0.124546115,0.864560639,1,29-01-18,Green Lotan,Red
5,0.00128866,0.028865979,0.163659794,0.806185567,1,29-01-18,Erez Gvori,Red
5,0.001172677,0.060392847,0.406039285,0.532395192,1,29-01-18,Green zofar,Orange
5,0.00052521,0.052521008,0.340336134,0.606617647,1,29-01-18,Green zofar,Yellow
5,0.00073006,0.033947801,0.232341668,0.732980471,1,29-01-18,Green Lotan,Red
5,0.001249479,0.091211995,0.38483965,0.522698875,1,29-01-18,Green Lotan,Red
5,0.00098668,0.028860385,0.147015294,0.823137642,1,29-01-18,Erez Gvori,Red
5,0.000810373,0.049972988,0.307941653,0.641274986,1,29-01-18,Green zofar,Yellow
5,0.003371185,0.161639461,0.506210078,0.328779276,1,29-01-18,Green Lotan,Red
5,0.001696641,0.050559891,0.246691551,0.701051917,1,29-01-18,Green Lotan,Red
5,0.001440403,0.06517825,0.416276557,0.517104789,1,29-01-18,Green zofar,Orange
5,0.003271263,0.156768998,0.507045798,0.332913941,1,30-01-18,Green Lotan,Red
5,0.000745712,0.035297042,0.218990803,0.744966443,1,30-01-18,Green Lotan,Red
5,0.001052909,0.025533035,0.147933667,0.82548039,1,30-01-18,Erez Gvori,Red
5,0.000701262,0.06171108,0.324684432,0.612903226,1,30-01-18,Green zofar,Yellow
5,0.001571339,0.081395349,0.421433061,0.495600251,1,30-01-18,Green zofar,Orange
5,0.001154068,0.036641662,0.229948067,0.732256203,1,30-01-18,Green Lotan,Red
5,0.001248439,0.132334582,0.528089888,0.338327091,1,30-01-18,Green Lotan,Red
